"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 15:5:4",2,201,603,10.3
"5.6.2023 15:5:4",3,203,609,10.9
"5.6.2023 15:5:4",4,203,609,10.9
"5.6.2023 15:5:11",1,202,606,10.6
"5.6.2023 15:5:11",2,199,597,9.7
"5.6.2023 15:5:11",3,204,612,11.2
"5.6.2023 15:5:11",4,202,606,10.6
"5.6.2023 15:5:17",1,204,612,11.2
"5.6.2023 15:5:17",2,201,603,10.3
"5.6.2023 15:5:17",3,203,609,10.9
"5.6.2023 15:5:17",4,202,606,10.6
"5.6.2023 15:5:24",1,201,603,10.3
"5.6.2023 15:5:24",2,202,606,10.6
"5.6.2023 15:5:24",3,204,612,11.2
"5.6.2023 15:5:24",4,202,606,10.6
"5.6.2023 15:5:31",1,202,606,10.6
"5.6.2023 15:5:31",2,200,600,10
"5.6.2023 15:5:31",3,203,609,10.9
"5.6.2023 15:5:31",4,202,606,10.6
"5.6.2023 15:5:37",1,203,609,10.9
"5.6.2023 15:5:37",2,201,603,10.3
"5.6.2023 15:5:37",3,203,609,10.9
"5.6.2023 15:5:37",4,202,606,10.6
"5.6.2023 15:5:44",1,203,609,10.9
"5.6.2023 15:5:44",2,201,603,10.3
"5.6.2023 15:5:44",3,204,612,11.2
"5.6.2023 15:5:44",4,203,609,10.9
"5.6.2023 15:5:51",1,203,609,10.9
"5.6.2023 15:5:51",2,200,600,10
"5.6.2023 15:5:51",3,205,615,11.5
"5.6.2023 15:5:51",4,201,603,10.3
"5.6.2023 15:5:57",1,202,606,10.6
"5.6.2023 15:5:57",2,201,603,10.3
"5.6.2023 15:5:57",3,204,612,11.2
"5.6.2023 15:5:57",4,202,606,10.6
"5.6.2023 15:6:4",1,202,606,10.6
"5.6.2023 15:6:4",2,201,603,10.3
"5.6.2023 15:6:4",3,202,606,10.6
"5.6.2023 15:6:4",4,202,606,10.6
"5.6.2023 15:6:11",1,203,609,10.9
"5.6.2023 15:6:11",2,201,603,10.3
"5.6.2023 15:6:11",3,203,609,10.9
"5.6.2023 15:6:11",4,202,606,10.6
"5.6.2023 15:6:17",1,201,603,10.3
"5.6.2023 15:6:17",2,201,603,10.3
"5.6.2023 15:6:17",3,203,609,10.9
"5.6.2023 15:6:17",4,202,606,10.6
"5.6.2023 15:6:24",1,203,609,10.9
"5.6.2023 15:6:24",2,202,606,10.6
"5.6.2023 15:6:24",3,203,609,10.9
"5.6.2023 15:6:24",4,201,603,10.3
"5.6.2023 15:6:31",1,202,606,10.6
"5.6.2023 15:6:31",2,201,603,10.3
"5.6.2023 15:6:31",3,203,609,10.9
