"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:42:12",4,205,615,11.5
"8.6.2023 9:42:21",1,205,615,11.5
"8.6.2023 9:42:21",2,204,612,11.2
"8.6.2023 9:42:21",3,205,615,11.5
"8.6.2023 9:42:21",4,205,615,11.5
"8.6.2023 9:42:31",1,206,618,11.8
"8.6.2023 9:42:31",2,206,618,11.8
"8.6.2023 9:42:31",3,206,618,11.8
"8.6.2023 9:42:31",4,205,615,11.5
"8.6.2023 9:42:40",1,208,624,12.4
"8.6.2023 9:42:40",2,206,618,11.8
"8.6.2023 9:42:40",3,207,621,12.1
"8.6.2023 9:42:40",4,205,615,11.5
"8.6.2023 9:42:50",1,207,621,12.1
"8.6.2023 9:42:50",2,206,618,11.8
"8.6.2023 9:42:50",3,206,618,11.8
"8.6.2023 9:42:50",4,205,615,11.5
"8.6.2023 9:42:59",1,206,618,11.8
"8.6.2023 9:42:59",2,206,618,11.8
"8.6.2023 9:42:59",3,206,618,11.8
"8.6.2023 9:42:59",4,204,612,11.2
"8.6.2023 9:43:9",1,205,615,11.5
"8.6.2023 9:43:9",2,205,615,11.5
"8.6.2023 9:43:9",3,205,615,11.5
"8.6.2023 9:43:9",4,205,615,11.5
"8.6.2023 9:43:19",1,206,618,11.8
"8.6.2023 9:43:19",2,207,621,12.1
"8.6.2023 9:43:19",3,205,615,11.5
"8.6.2023 9:43:19",4,205,615,11.5
"8.6.2023 9:43:28",1,205,615,11.5
"8.6.2023 9:43:28",2,205,615,11.5
"8.6.2023 9:43:28",3,206,618,11.8
"8.6.2023 9:43:28",4,205,615,11.5
"8.6.2023 9:43:38",1,206,618,11.8
"8.6.2023 9:43:38",2,205,615,11.5
"8.6.2023 9:43:38",3,209,627,12.7
"8.6.2023 9:43:38",4,204,612,11.2
"8.6.2023 9:43:47",1,205,615,11.5
"8.6.2023 9:43:47",2,205,615,11.5
"8.6.2023 9:43:47",3,206,618,11.8
"8.6.2023 9:43:47",4,205,615,11.5
"8.6.2023 9:43:57",1,206,618,11.8
"8.6.2023 9:43:57",2,205,615,11.5
"8.6.2023 9:43:57",3,206,618,11.8
"8.6.2023 9:43:57",4,205,615,11.5
"8.6.2023 9:44:7",1,207,621,12.1
"8.6.2023 9:44:7",2,205,615,11.5
"8.6.2023 9:44:7",3,207,621,12.1
"8.6.2023 9:44:7",4,204,612,11.2
"8.6.2023 9:44:17",1,206,618,11.8
"8.6.2023 9:44:17",2,206,618,11.8
"8.6.2023 9:44:17",3,206,618,11.8
"8.6.2023 9:44:17",4,205,615,11.5
"8.6.2023 9:44:26",1,205,615,11.5
